county,city,zipcode,address,state,rent,latitude,longitude,cemetery_dist_miles,nationalhighway_miles,railline_miles,starbucks_miles,walmart_miles,hospital_miles,physician_dist_miles,dentist_dist_miles,opt_dist_miles,vet_dist_miles,farmers_miles,time,bed,bath,halfbath,sqft,property_type,garage,yearbuilt,pool,fireplace,patio,lotsize,Census_MedianIncome,CollegeGrads,WhiteCollar,Schools,Unemployment,EmploymentDiversity,Census_Vacancy,Crime_Rate,HomePrice
NA,WEXFORD,NA,2587 Grouse Rdg Allegheny County,PA,1420,40.602684,-80.091286,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2016.25,2,1,1,1902,Condo,1,1985,0,1,1,3886.155031,54476.09,21,66.57,48.3,5.1,3.48,3.42,2.4,158051
NA,WHITEHALL,NA,3344 St Stephens Ln Lehigh County,PA,1750,40.646275,-75.51002,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.75,3,2,1,1583,Condo,0,2006,0,1,1,3234.376138,54476.09,21,66.57,48.3,5.1,3.48,3.42,2.4,158051
NA,WAYNESBORO,NA,54 W 2nd St Franklin County,PA,825,39.75498,-77.58084,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.75,2,1,1,1250,Condo,1,1960,0,0,0,2553.992528,54476.09,21,66.57,48.3,5.1,3.48,3.42,2.4,158051
NA,WARMINSTER,NA,7110 Centennial Sta Bucks County,PA,1250,40.18953,-75.070625,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2016.25,2,2,1,1008,Condo,0,1960,0,0,0,2059.539575,54476.09,21,66.57,48.3,5.1,3.48,3.42,2.4,158051
NA,WAYNESBORO,NA,385 Viewpoint Way Franklin County,PA,1045,39.766514,-77.58228,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.75,3,3,1,1358,Condo,1,2012,0,0,0,2774.657483,54476.09,21,66.57,48.3,5.1,3.48,3.42,2.4,158051
NA,WAYNESBORO,NA,387 Viewpoint Way Franklin County,PA,1025,39.76652,-77.582306,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.75,3,3,1,1300,Condo,1,2012,0,0,0,2656.152229,54476.09,21,66.57,48.3,5.1,3.48,3.42,2.4,158051
NA,WAYNESBORO,NA,37 E Main St Franklin County,PA,595,39.755344,-77.576775,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2016.25,1,1,1,900,Condo,0,1900,0,0,0,1838.87462,54476.09,21,66.57,48.3,5.1,3.48,3.42,2.4,158051
NA,UPPER DARBY,NA,406 Long Ln #2BD FLOOR Delaware County,PA,625,39.95572,-75.26391,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2016.25,1,1,1,600,Condo,0,1931,0,0,0,1225.916414,54476.09,21,66.57,48.3,5.1,3.48,3.42,2.4,158051
NA,WAYNESBORO,NA,214 Park St Franklin County,PA,1000,39.7549,-77.58591,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2016.25,3,1,1,1300,SFR,0,1903,0,0,0,2656.152229,54476.09,21,66.57,48.3,5.1,3.48,3.42,2.4,158051
NA,WHITEHALL,NA,3335 St Stephens Ln Lehigh County,PA,1425,40.646545,-75.50994,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.75,2,2,1,1107,Condo,0,1960,0,1,1,2261.815783,54476.09,21,66.57,48.3,5.1,3.48,3.42,2.4,158051
